Water.Soil.Ratio,Sample.ID,Study,Sample.Number,DNA.Extr.MicropH.MoBio,Lab.CO2.MicropH,High.CO2.MicropH,Tube.Empty.g,Moist.Soil.g,Water.Added.mL,Tube.Dry.Soil.g,Dry.Soil.g,Soil.Water.Content.mass,Target.Water.Soil.ratio,Real.Water.Soil.ratio,Error.Water.Soil.ratio,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,AmmAcet.Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Acidity.Hplus.meq.100g,Hplus.perc.CEC,CEC.summation.meq.100g,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-2,2-K1-17-45,Wisconsin,2,,5.2,5.33,1.008,1.065,0.533,1.972,0.964,0.095,0.5,0.552,-0.052,68,21.2,10.8,Sandy Loam,1.3,5.36,5.4,6.5,0.09,0.71,101,41,1,194,13,32,4,,0,6.1,85,6,8/23/2018,Kemp,5.4,1,17,45
1-to-2,3-K1-45-60,Wisconsin,3,,5.48,5.01,1.013,1.069,0.535,2.03,1.017,0.049,0.5,0.526,-0.026,72,19.2,8.8,Sandy Loam,0.4,6.28,5.6,7.1,0.08,0.11,37,26,4,327,96,58,28,,0,0,0,1,8/23/2018,Kemp,5.4,1,45,60
1-to-2,5-K3-0-15,Wisconsin,5,,4.99,5.01,0.999,1.053,0.527,1.932,0.933,0.114,0.5,0.564,-0.064,64,27.2,8.8,Sandy Loam,4,4.38,4.7,6.1,0.18,2.52,63,67,1,382,15,85,5,,0,10.9,84,13,8/23/2018,Kemp,5.4,3,0,15
1-to-2,6-K3-15-35,Wisconsin,6,,5.28,5.22,0.999,1.046,0.523,1.946,0.947,0.095,0.5,0.552,-0.052,60,31.2,8.8,Sandy Loam,1.5,5.05,5.1,6.4,0.12,0.77,40,57,2,170,11,39,4,,0,7,87,7,8/23/2018,Kemp,5.4,3,15,35
1-to-2,7-K3-35-50,Wisconsin,7,,5.2,5.24,1.072,1.053,0.527,2.06,0.988,0.062,0.5,0.533,-0.033,70,19.2,10.8,Sandy Loam,0.8,5.76,5.2,6.7,0.11,0.33,24,63,3,189,19,38,6,,0,4,78,4,8/23/2018,Kemp,5.4,3,35,50
1-to-2,8-K4-0-15,Wisconsin,8,,4.87,4.91,1.06,0.943,0.472,1.946,0.886,0.06,0.5,0.532,-0.032,78,15.2,6.8,Loamy Sand,2.5,4.89,4.5,6.1,0.13,1.63,18,42,1,122,5,22,2,,0,10.7,94,10,8/23/2018,Kemp,5.4,4,0,15
1-to-2,9-K4-15-30,Wisconsin,9,,5.13,5.1,1.061,1.033,0.517,2.06,0.999,0.033,0.5,0.517,-0.017,74,15.2,10.8,Sandy Loam,1.4,5.44,5,6.4,0.11,0.68,64,29,1,22,1,6,1,,0,7.3,98,6,8/23/2018,Kemp,5.4,4,15,30
1-to-2,10-K4-30-50,Wisconsin,10,,5.03,4.91,1.013,1.017,0.509,1.946,0.933,0.083,0.5,0.545,-0.045,72,15.2,12.8,Sandy Loam,0.8,5.51,4.4,6.5,0.11,0.34,16,23,1,22,2,5,1,,0,5.5,97,4,8/23/2018,Kemp,5.4,4,30,50
1-to-2,11-R1-0-27,Wisconsin,11,,5.53,5.53,1.009,1.016,0.508,1.992,0.983,0.032,0.5,0.517,-0.017,82,11.2,6.8,Loamy Sand,1.2,6.16,5.5,6.8,0.13,0.81,197,62,6,134,23,8,2,,0,2,71,2,8/24/2018,Rhinelander,5.5,1,0,27
1-to-2,12-R1-27-50,Wisconsin,12,,5.6,5.65,1.016,1.052,0.526,2.04,1.024,0.027,0.5,0.514,-0.014,94,1.2,4.8,Sand,0.2,6.4,5.9,7.3,0.11,0.05,39,47,23,81,77,5,8,,0,0,0,0,8/24/2018,Rhinelander,5.5,1,27,50
1-to-2,13-R1-50-70,Wisconsin,13,,5.61,5.61,1.007,1.027,0.514,1.998,0.991,0.035,0.5,0.518,-0.018,97.6,-0.4,2.8,Sand,0.2,6.48,5.9,7.4,0.07,0.01,25,35,28,47,72,3,8,,0,0,0,0,8/24/2018,Rhinelander,5.5,1,50,70
1-to-2,14-R2-0-30,Wisconsin,14,,6.78,7.99,1.065,1.065,0.533,2.119,1.054,0.01,0.5,0.505,-0.005,89.6,5.6,4.8,Sand,1.2,6.06,6.6,7.4,0.1,0.71,163,47,3,897,97,14,2,,0,0,0,3,8/24/2018,Rhinelander,5.5,2,0,30
1-to-2,15-R2-30-45,Wisconsin,15,,5.94,6.52,1.004,1.023,0.512,2.024,1.02,0.003,0.5,0.501,-0.001,93.6,1.6,4.8,Sand,0.3,6.59,6.6,7.4,0.07,0.06,47,23,8,139,92,3,3,,0,0,0,0,8/24/2018,Rhinelander,5.5,2,30,45
1-to-2,16-R2-45-60,Wisconsin,16,,5.84,6.05,1.065,1.218,0.609,2.276,1.211,0.006,0.5,0.503,-0.003,93.6,1.6,4.8,Sand,0.2,6.59,6.2,7.4,0.06,0.05,34,27,14,84,86,4,7,,0,0,0,0,8/24/2018,Rhinelander,5.5,2,45,60
1-to-2,17-R2-60-100,Wisconsin,17,,5.93,6.14,1.066,1.03,0.515,2.086,1.02,0.01,0.5,0.505,-0.005,95.6,1.6,2.8,Sand,0.1,6.51,6.5,7.5,0.06,0.04,26,28,14,85,86,3,5,,0,0,0,0,8/24/2018,Rhinelander,5.5,2,60,100
1-to-2,18-R3-0-20,Wisconsin,18,,5.88,6.01,1.054,1.023,0.512,2.01,0.956,0.065,0.5,0.535,-0.035,73.6,19.6,6.8,Sandy Loam,1.5,5.54,5.9,6.9,0.1,1.12,275,82,5,493,60,28,6,,0,1.4,35,3,8/24/2018,Rhinelander,5.5,3,0,20
1-to-2,19-R3-20-30,Wisconsin,19,,5.56,5.66,1.064,0.989,0.495,1.988,0.924,0.066,0.5,0.535,-0.035,77.6,15.6,6.8,Loamy Sand,0.7,5.81,5.8,6.9,0.09,0.32,89,57,9,139,45,16,8,,0,0.7,46,1,8/24/2018,Rhinelander,5.5,3,20,30
1-to-2,20-M1-0-31,Wisconsin,20,,6.77,7.02,1.066,1.075,0.538,1.905,0.839,0.22,0.5,0.641,-0.141,21.6,61.6,16.8,Silt Loam,3.3,4.02,7.1,7.3,0.24,1.95,33,94,3,1439,97,423,47,,0,0,0,8,9/7/2018,Marshfield,5.65,1,0,31
1-to-2,21-M1-31-50,Wisconsin,21,,5.86,6.12,1.072,1.015,0.508,1.902,0.83,0.182,0.5,0.611,-0.111,17.6,59.6,22.8,Silt Loam,1.1,4.62,6.7,7.1,0.11,0.31,18,54,2,1158,98,544,75,,0,0,0,5,9/7/2018,Marshfield,5.65,1,31,50
1-to-2,22-M1-50-70,Wisconsin,22,,5.21,5.36,1.05,1.032,0.516,1.918,0.868,0.159,0.5,0.594,-0.094,29.6,37.6,32.8,Clay Loam,1,4.6,4.8,6.1,0.1,0.12,8,67,1,1281,37,633,30,,0,10.7,62,16,9/7/2018,Marshfield,5.65,1,50,70
1-to-2,23-M2-0-24,Wisconsin,23,,6.99,7.2,1.059,1.06,0.53,1.88,0.821,0.225,0.5,0.646,-0.146,19.6,63.6,16.8,Silt Loam,3,4.29,7.1,7.3,0.22,1.89,40,118,4,1446,96,428,47,,0,0,0,7,9/7/2018,Marshfield,5.65,2,0,24
1-to-2,24-M2-24-38,Wisconsin,24,,6.6,7.03,1.059,1.053,0.527,1.952,0.893,0.152,0.5,0.59,-0.09,39.6,39.6,20.8,Loam,0.9,4.91,7.1,7.2,0.08,0.2,10,70,3,1233,97,516,67,,0,0,0,5,9/7/2018,Marshfield,5.65,2,24,38
