Water.Soil.Ratio,Sample.ID,Study,Sample.Number,DNA.Extr.MicropH.MoBio,Lab.CO2.MicropH,High.CO2.MicropH,Tube.Empty.g,Moist.Soil.g,Water.Added.mL,Tube.Dry.Soil.g,Dry.Soil.g,Soil.Water.Content.mass,Target.Water.Soil.ratio,Real.Water.Soil.ratio,Error.Water.Soil.ratio,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,AmmAcet.Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Acidity.Hplus.meq.100g,Hplus.perc.CEC,CEC.summation.meq.100g,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-3,27-M3-15-30,Wisconsin,27,,5.34,5.71,1.067,1.225,0.408,2.119,1.052,0.141,0.333,0.388,-0.055,49.2,25.2,25.6,Sandy Clay Loam,0.8,4.77,5,6.6,0.08,0.26,18,59,1,1368,57,426,29,,0,4.9,41,11,9/7/2018,Marshfield,5.65,3,15,30
1-to-3,28-S-0-30,Wisconsin,28,,4.98,5.25,1.068,1.228,0.409,2.181,1.113,0.094,0.333,0.368,-0.034,75.2,17.2,7.6,Sandy Loam,1.3,5.93,4.7,6.6,0.08,0.88,45,62,3,249,21,46,6,,0,4.6,76,4,11/3/2017,Spooner,5.8,,0,30
1-to-3,29-S-30-60,Wisconsin,29,,5.44,5.62,1.005,1.227,0.409,2.195,1.19,0.03,0.333,0.344,-0.01,81.2,7.2,11.6,Sandy Loam,0.6,6.08,5.5,7,0.08,0.16,25,120,10,500,85,93,26,,0,0.1,4,2,11/3/2017,Spooner,5.8,,30,60
1-to-3,30-H1-0-30,Wisconsin,30,,6.76,6.92,1.063,1.265,0.422,2.287,1.224,0.032,0.333,0.344,-0.011,87.2,7.2,5.6,Loamy Sand,1,6.25,7.3,7.5,0.12,0.89,106,58,5,612,95,159,41,,0,0,0,2,9/17/2018,Hancock,6.2,1,0,30
1-to-3,31-H1-30-40,Wisconsin,31,,6.5,7.05,1.051,1.242,0.414,2.223,1.172,0.056,0.333,0.353,-0.02,87.2,7.2,5.6,Loamy Sand,0.5,6.09,7.5,7.5,0.06,0.26,92,56,6,433,94,118,42,,0,0,0,2,9/17/2018,Hancock,6.2,1,30,40
1-to-3,32-H1-40-60,Wisconsin,32,,6.53,6.95,1.058,1.273,0.424,2.264,1.206,0.053,0.333,0.352,-0.019,85.2,7.2,7.6,Loamy Sand,0.4,6.1,7.4,7.5,0.06,0.1,73,53,8,323,92,101,47,,0,0,0,1,9/17/2018,Hancock,6.2,1,40,60
1-to-3,33-H2-0-30,Wisconsin,33,,6.46,6.91,1.073,1.241,0.414,2.252,1.179,0.05,0.333,0.351,-0.018,87.2,7.2,5.6,Loamy Sand,0.8,5.91,7.2,7.5,0.05,0.38,74,50,5,498,95,128,40,,0,0,0,2,9/17/2018,Hancock,6.2,2,0,30
1-to-3,34-H2-30-60,Wisconsin,34,,6.62,6.88,1.061,1.219,0.406,2.222,1.161,0.048,0.333,0.35,-0.017,87.2,5.2,7.6,Loamy Sand,0.4,6.04,7.2,7.5,0.03,0.1,85,40,7,280,93,96,52,,0,0,0,1,9/17/2018,Hancock,6.2,2,30,60
1-to-3,35-A249-0-35,Wisconsin,35,,6.86,7.17,1.065,1.204,0.401,2.045,0.98,0.186,0.333,0.41,-0.076,11.2,65.2,23.6,Silt Loam,3.6,4.07,7.2,7.3,0.21,2.23,28,78,2,1785,98,505,45,,0,0,0,10,8/31/2018,Arlington,6.5,249,0,35
1-to-3,36-A249-35-60,Wisconsin,36,,6.8,7.1,1.061,1.234,0.411,2.068,1.007,0.184,0.333,0.408,-0.075,1.2,67.6,31.2,Silty Clay Loam,1.7,4.42,7.3,7.2,0.15,0.7,13,68,2,1722,98,667,62,,0,0,0,8,8/31/2018,Arlington,6.5,249,35,60
1-to-3,37-A341-0-33,Wisconsin,37,,6.81,7.11,1.069,1.203,0.401,2.051,0.982,0.184,0.333,0.408,-0.075,25.2,51.6,23.2,Silt Loam,3.5,4.41,7.4,7.3,0.22,2.7,32,76,2,2014,98,527,42,,0,0,0,10,8/31/2018,Arlington,6.5,341,0,33
1-to-3,38-A341-33-55,Wisconsin,38,,6.91,7.18,1.055,1.241,0.414,1.98,0.925,0.255,0.333,0.447,-0.114,9.2,61.6,29.2,Silty Clay Loam,4.6,3.61,7.3,7.1,0.26,3.02,35,34,1,2071,99,530,42,,0,0,0,12,8/31/2018,Arlington,6.5,341,33,55
1-to-3,39-A341-55-75,Wisconsin,39,,6.67,7.04,1.07,1.245,0.415,2.03,0.96,0.229,0.333,0.432,-0.099,5.2,65.6,29.2,Silty Clay Loam,3.3,3.9,7.2,7.1,0.21,2.02,28,37,1,1652,99,514,50,,0,0,0,9,8/31/2018,Arlington,6.5,341,55,75
1-to-3,40-A341-75-85,Wisconsin,40,,6.79,7.14,1.063,1.207,0.402,2.026,0.963,0.202,0.333,0.418,-0.084,5.2,71.6,23.2,Silt Loam,1.7,4.3,7.2,7.1,0.1,0.83,9,39,2,980,98,574,94,,0,0,0,5,8/31/2018,Arlington,6.5,341,75,85
1-to-3,41-L2-0-23,Wisconsin,41,,6.46,6.84,1.07,1.2,0.4,2.015,0.945,0.213,0.333,0.423,-0.09,9.2,73.6,17.2,Silt Loam,2.6,4.17,7,7.3,0.22,1.71,14,72,3,1288,97,347,43,,0,0,0,7,8/30/2018,Lancaster,6.6,2,0,23
1-to-3,42-L2-23-45,Wisconsin,42,,6.56,7.05,1.062,1.213,0.404,2.049,0.987,0.186,0.333,0.41,-0.076,3.2,71.6,25.2,Silt Loam,1.3,4.53,7.3,7.3,0.13,0.55,9,62,2,1330,98,444,53,,0,0,0,6,8/30/2018,Lancaster,6.6,2,23,45
1-to-3,43-L3-0-12,Wisconsin,43,,5.92,6.35,1.055,1.182,0.394,2.011,0.956,0.191,0.333,0.412,-0.079,7.2,67.6,25.2,Silt,2.8,4.28,6.5,7.1,0.15,1.58,17,116,4,1502,96,470,49,,0,0,0,8,8/30/2018,Lancaster,6.6,3,0,12
1-to-3,44-L3-12-20,Wisconsin,44,,6.1,6.45,1.062,1.231,0.41,2.058,0.996,0.191,0.333,0.412,-0.079,5.2,65.6,29.2,Silty Clay Loam,2,4.42,6.7,7.1,0.14,0.82,10,78,2,1617,98,545,54,,0,0,0,8,8/30/2018,Lancaster,6.6,3,12,20
1-to-3,45-L3-20-40,Wisconsin,45,,6.08,6.46,1.053,1.244,0.415,2.074,1.021,0.179,0.333,0.406,-0.073,3.2,61.6,35.2,Silty Clay Loam,1.5,4.42,6.8,7,0.13,0.48,22,100,3,1984,97,723,58,,0,0,0,10,8/30/2018,Lancaster,6.6,3,20,40
1-to-3,46-L4-0-10,Wisconsin,46,,5.87,6.14,1.058,1.19,0.397,1.972,0.914,0.232,0.333,0.434,-0.101,9.2,71.6,19.2,Silt Loam,3.1,4.01,6.2,6.9,0.2,1.94,10,58,2,1193,87,264,32,,0,0.7,11,7,8/30/2018,Lancaster,6.6,4,0,10
1-to-3,47-L4-10-20,Wisconsin,47,,5.8,6.07,1.005,1.262,0.421,1.992,0.987,0.218,0.333,0.426,-0.093,7.2,73.6,19.2,Silt,2.8,4.11,5.9,6.9,0.23,1.7,18,47,2,1074,74,209,24,,0,1.8,25,8,8/30/2018,Lancaster,6.6,4,10,20
1-to-3,48-L4-20-40,Wisconsin,48,,5.65,6.03,1.061,1.248,0.416,2.069,1.008,0.192,0.333,0.413,-0.079,8,71.6,20.4,Silt Loam,1.3,4.39,6.1,7,0.14,0.63,10,42,2,1053,98,184,28,,0,0,0,5,8/30/2018,Lancaster,6.6,4,20,40
1-to-3,50-W4-0-28,Wisconsin,50,,6.68,6.98,1.052,1.245,0.415,2.081,1.029,0.173,0.333,0.403,-0.07,34,41.6,24.4,Loam,3.1,4.62,6.9,7.2,0.22,1.99,8,72,2,1841,98,618,54,,0,0,0,9,8/31/2018,West Madison,6.7,4,0,28
1-to-3,51-W4-28-45,Wisconsin,51,,6.74,7.06,1.04,1.275,0.425,2.118,1.078,0.155,0.333,0.394,-0.061,42,29.6,28.4,Clay Loam,1.5,4.74,7,7.2,0.09,0.65,5,65,2,1574,98,669,68,,0,0,0,7,8/31/2018,West Madison,6.7,4,28,45
1-to-3,52-W4-45-55,Wisconsin,52,,6.64,6.9,1.03,1.204,0.401,2.073,1.043,0.134,0.333,0.385,-0.051,65.72580645,17.74193548,16.53225806,Sandy Loam,0.8,5.16,7,7.3,0.1,0.4,10,49,3,816,97,344,67,,0,0,0,3,8/31/2018,West Madison,6.7,4,45,55
1-to-3,53-W5-0-35,Wisconsin,53,,5.93,6.37,1.049,1.197,0.399,2.022,0.973,0.187,0.333,0.41,-0.077,8,65.6,26.4,Silt Loam,3.4,4.27,6.4,6.8,0.23,2.36,32,100,2,1656,77,448,34,,0,2.3,21,11,8/16/2018,West Madison,6.7,5,0,35
1-to-3,54-W5-35-65,Wisconsin,54,,5.75,6.13,1.038,1.214,0.405,1.955,0.917,0.245,0.333,0.441,-0.108,8,63.6,28.4,Silty Clay Loam,4.3,3.99,5.8,6.4,0.26,2.96,12,56,1,1524,50,392,21,,0,7.6,49,16,8/16/2018,West Madison,6.7,5,35,65
1-to-3,55-W7-0-15,Wisconsin,55,,5.79,6.35,1.038,1.179,0.393,2.029,0.991,0.159,0.333,0.397,-0.063,14,61.6,24.4,Silt Loam,2.9,4.35,6,6.9,0.25,2.03,28,71,2,1752,88,517,43,,0,1,10,10,8/16/2018,West Madison,6.7,7,0,15
1-to-3,56-W7-15-30,Wisconsin,56,,5.53,5.92,1.045,1.212,0.404,2.041,0.996,0.178,0.333,0.406,-0.072,4,67.6,28.4,Silty Clay Loam,1.9,4.22,5.6,6.8,0.15,1.04,9,45,1,1365,73,444,39,,0,2.4,26,9,8/16/2018,West Madison,6.7,7,15,30
1-to-3,57-P1-0-30,Wisconsin,57,,6.84,7.15,1.056,1.213,0.404,2.137,1.081,0.109,0.333,0.374,-0.041,64,23.6,12.4,Sandy Loam,1.5,5.04,6.9,7.4,0.12,1.15,78,140,8,843,92,197,35,,0,0,0,4,9/10/2018,Peninsular,7.2,1,0,30
1-to-3,58-P1-30-45,Wisconsin,58,,6.49,6.95,1.032,1.187,0.396,2.117,1.085,0.086,0.333,0.365,-0.031,66,15.6,18.4,Sandy Loam,0.7,5.37,7.1,7.4,0.1,0.33,11,84,6,702,94,217,48,,0,0,0,3,9/10/2018,Peninsular,7.2,1,30,45
1-to-3,59-P1-45-55,Wisconsin,59,,6.44,6.9,1.033,1.214,0.405,2.154,1.121,0.077,0.333,0.361,-0.028,70,17.6,12.4,Sandy Loam,0.5,5.64,7,7.4,0.07,0.17,19,54,5,554,95,165,46,,0,0,0,2,9/10/2018,Peninsular,7.2,1,45,55
1-to-3,60-P2-0-20,Wisconsin,60,,7.13,7.33,1.038,1.193,0.398,2.077,1.039,0.129,0.333,0.383,-0.049,52.8,28.8,18.4,Sandy Loam,2.8,4.75,7.5,7.5,0.18,2.47,12,75,3,1411,97,334,38,,0,0,0,6,9/10/2018,Peninsular,7.2,2,0,20
1-to-3,61-P2-20-45,Wisconsin,61,,7.2,7.4,1.062,1.224,0.408,2.153,1.091,0.109,0.333,0.374,-0.041,54.8,24.8,20.4,Sandy Clay Loam,1.2,5.11,7.6,7.5,0.11,3.31,14,45,2,1176,98,308,42,,0,0,0,5,9/10/2018,Peninsular,7.2,2,20,45
1-to-3,62-P2-45-55,Wisconsin,62,,7.01,7.4,1.032,1.212,0.404,2.161,1.129,0.068,0.333,0.358,-0.025,60.8,26.8,12.4,Sandy Loam,0.5,5.53,7.7,7.6,0.09,5.53,10,35,2,743,98,225,48,,0,0,0,3,9/10/2018,Peninsular,7.2,2,45,55
1-to-3,63-P4-0-25,Wisconsin,63,,7.23,7.52,1.049,1.22,0.407,2.085,1.036,0.151,0.333,0.393,-0.059,50.8,32.8,16.4,Loam,3.1,4.49,7.4,7.4,0.21,2.2,12,53,2,1433,98,359,40,,0,0,0,7,9/10/2018,Peninsular,7.2,4,0,25
1-to-3,64-P4-25-35,Wisconsin,64,,7.24,7.5,1.029,1.195,0.398,2.057,1.028,0.14,0.333,0.387,-0.054,50.8,28.8,20.4,Loam,1.9,4.63,7.5,7.4,0.12,1.56,12,45,2,1378,98,360,42,,0,0,0,6,9/10/2018,Peninsular,7.2,4,25,35
1-to-3,65-P4-35-50,Wisconsin,65,,7.44,7.4,1.057,1.209,0.403,2.144,1.087,0.101,0.333,0.371,-0.037,52.8,32.8,14.4,Sandy Loam,0.9,4.86,7.7,7.5,0.09,4.21,22,39,2,881,98,253,46,,0,0,0,4,9/10/2018,Peninsular,7.2,4,35,50
1-to-3,181-Sp11-Cr31-0-20,Spooner,181,,6.38,7.1,1.061,1.188,0.396,2.103,1.042,0.123,0.333,0.38,-0.047,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,182-Sp11-Cr32-0-16,Spooner,182,,7.14,7.5,1.048,1.198,0.399,2.095,1.047,0.126,0.333,0.381,-0.048,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,183-Sp11-Cr33-0-20,Spooner,183,,6.01,6.58,1.042,1.216,0.405,2.112,1.07,0.12,0.333,0.379,-0.045,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,184-Sp12-Cr34-0-16,Spooner,184,,6.56,6.87,1.046,1.167,0.389,2.073,1.027,0.12,0.333,0.379,-0.045,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,185-Sp12-Cr35-0-18,Spooner,185,,6.37,6.54,1.038,1.2,0.4,2.057,1.019,0.151,0.333,0.393,-0.059,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,186-Sp12-Cr36-0-20,Spooner,186,,6.48,6.93,1.059,1.27,0.423,2.17,1.111,0.125,0.333,0.381,-0.048,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,187-Sp13-Cr37-0-20,Spooner,187,,6.59,6.89,1.057,1.24,0.413,2.142,1.085,0.125,0.333,0.381,-0.048,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,188-Sp13-Cr38-0-20,Spooner,188,,5.58,6.12,1.043,1.191,0.397,2.086,1.043,0.124,0.333,0.381,-0.047,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,189-Sp13-Cr39-0-19,Spooner,189,,6.63,7.02,1.079,1.229,0.41,2.155,1.076,0.124,0.333,0.381,-0.047,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,190-Sp14-Cr40-0-17,Spooner,190,,5.39,5.83,1.038,1.2,0.4,2.095,1.057,0.119,0.333,0.378,-0.045,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,191-Sp14-Cr41-0-18,Spooner,191,,5.45,5.79,1.048,1.172,0.391,2.085,1.037,0.115,0.333,0.377,-0.043,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,192-Sp14-Cr42-0-20,Spooner,192,,5.48,5.86,1.043,1.277,0.426,2.173,1.13,0.115,0.333,0.377,-0.043,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,193-Sp15-Cr43-0-18,Spooner,193,,5.04,5.53,1.031,1.176,0.392,2.073,1.042,0.114,0.333,0.376,-0.043,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,194-Sp15-Cr44-0-17,Spooner,194,,4.85,5.26,1.047,1.189,0.396,2.074,1.027,0.136,0.333,0.386,-0.053,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,195-Sp15-Cr45-0-20,Spooner,195,,5.36,5.7,1.079,1.057,0.352,2.001,0.922,0.128,0.333,0.382,-0.049,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,196-Sp16-Cr46-0-20,Spooner,196,,6.6,6.69,1.042,0.969,0.323,1.889,0.847,0.126,0.333,0.381,-0.048,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,197-Sp16-Cr47-0-17,Spooner,197,,6.15,6.45,1.033,1.225,0.408,2.115,1.082,0.117,0.333,0.377,-0.044,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,198-Sp16-Cr48-0-20,Spooner,198,,6.04,6.38,1.06,1.239,0.413,2.145,1.085,0.124,0.333,0.381,-0.047,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,199-Sp17-Cr49-0-20,Spooner,199,,4.94,5.28,1.045,1.209,0.403,2.111,1.066,0.118,0.333,0.378,-0.045,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,200-Sp17-Cr50-0-18,Spooner,200,,5.21,5.64,1.033,1.201,0.4,2.104,1.071,0.108,0.333,0.374,-0.04,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,201-Sp17-Cr51-0-18,Spooner,201,,5.36,5.78,1.037,1.184,0.395,2.094,1.057,0.107,0.333,0.373,-0.04,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,202-Sp18-Cr52-0-18,Spooner,202,,7.06,6.86,1.068,1.174,0.391,2.086,1.018,0.133,0.333,0.384,-0.051,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,203-Sp18-Cr53-0-19,Spooner,203,,6.94,6.89,1.045,1.179,0.393,2.092,1.047,0.112,0.333,0.375,-0.042,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,204-Sp18-Cr54-0-20,Spooner,204,,6.68,6.9,1.055,1.181,0.394,2.085,1.03,0.128,0.333,0.382,-0.049,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,205-Sp19-Cr55-0-20,Spooner,205,,5.38,5.76,1.034,1.251,0.417,2.155,1.121,0.104,0.333,0.372,-0.039,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,206-Sp19-Cr56-0-18,Spooner,206,,4.95,5.35,1.054,1.188,0.396,2.114,1.06,0.108,0.333,0.374,-0.04,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,207-Sp19-Cr57-0-18,Spooner,207,,6.2,6.37,1.037,1.192,0.397,2.089,1.052,0.117,0.333,0.378,-0.044,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,208-Sp20-Cr58-0-20,Spooner,208,,6.29,6.22,1.054,1.183,0.394,2.099,1.045,0.117,0.333,0.377,-0.044,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,209-Sp20-Cr59-0-19,Spooner,209,,5.61,5.74,1.047,1.211,0.404,2.126,1.079,0.109,0.333,0.374,-0.041,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,210-Sp20-Cr60-0-20,Spooner,210,,5.75,6.11,1.029,1.199,0.4,2.08,1.051,0.123,0.333,0.38,-0.047,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,211-Sp1-Cr1-0-20,Spooner,211,,4.71,5.06,1.03,1.233,0.411,2.121,1.091,0.115,0.333,0.377,-0.043,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,212-Sp1-Cr2-0-20,Spooner,212,,4.95,5.34,1.032,1.203,0.401,2.089,1.057,0.121,0.333,0.379,-0.046,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,213-Sp1-Cr3-0-20,Spooner,213,,7.08,6.93,1.042,1.25,0.417,2.149,1.107,0.114,0.333,0.376,-0.043,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,214-Sp2-Cr4-0-20,Spooner,214,,6.02,6.19,1.045,1.211,0.404,2.116,1.071,0.116,0.333,0.377,-0.044,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,215-Sp2-Cr5-0-20,Spooner,215,,5.91,6.28,1.051,1.229,0.41,2.117,1.066,0.133,0.333,0.384,-0.051,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,216-Sp2-Cr6-0-20,Spooner,216,,5.42,5.58,1.042,1.193,0.398,2.088,1.046,0.123,0.333,0.38,-0.047,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,217-Sp3-Cr7-0-20,Spooner,217,,6.53,6.72,1.043,1.25,0.417,2.138,1.095,0.124,0.333,0.381,-0.047,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,218-Sp3-Cr8-0-20,Spooner,218,,6.57,6.85,1.029,1.196,0.399,2.071,1.042,0.129,0.333,0.383,-0.049,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,219-Sp3-Cr9-0-20,Spooner,219,,6.47,6.98,1.037,1.263,0.421,2.138,1.101,0.128,0.333,0.382,-0.049,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,220-Sp4-Cr10-0-20,Spooner,220,,6.15,6.47,1.072,1.215,0.405,2.159,1.087,0.105,0.333,0.373,-0.039,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,221-Sp4-Cr11-0-20,Spooner,221,,6.44,6.51,1.057,1.165,0.388,2.099,1.042,0.106,0.333,0.373,-0.039,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,222-Sp4-Cr12-0-20,Spooner,222,,6.38,6.54,1.06,1.247,0.416,2.165,1.105,0.114,0.333,0.376,-0.043,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,223-Sp5-Cr13-0-20,Spooner,223,,6.93,7.13,1.073,1.245,0.415,2.151,1.078,0.134,0.333,0.385,-0.052,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,224-Sp5-Cr14-0-20,Spooner,224,,6.37,6.56,1.035,1.216,0.405,2.112,1.077,0.114,0.333,0.376,-0.043,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,225-Sp5-Cr15-0-20,Spooner,225,,7.02,7.14,1.029,1.223,0.408,2.112,1.083,0.114,0.333,0.376,-0.043,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,226-Sp6-Cr16-0-15,Spooner,226,,6.78,6.98,1.031,1.245,0.415,2.11,1.079,0.133,0.333,0.385,-0.051,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,227-Sp6-Cr17-0-20,Spooner,227,,6.57,6.77,1.036,1.22,0.407,2.063,1.027,0.158,0.333,0.396,-0.063,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,228-Sp6-Cr18-0-20,Spooner,228,,6.7,6.63,1.051,1.217,0.406,2.111,1.06,0.129,0.333,0.383,-0.049,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,229-Sp7-Cr19-0-20,Spooner,229,,4.84,5.09,1.037,1.254,0.418,2.121,1.084,0.136,0.333,0.386,-0.052,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,230-Sp7-Cr20-0-20,Spooner,230,,4.61,4.8,1.054,1.141,0.38,2.044,0.99,0.132,0.333,0.384,-0.051,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,231-Sp7-Cr21-0-13,Spooner,231,,5.42,5.72,1.044,1.221,0.407,2.099,1.055,0.136,0.333,0.386,-0.052,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,232-Sp8-Cr22-0-20,Spooner,232,,5.81,6.12,1.06,1.226,0.409,2.129,1.069,0.128,0.333,0.382,-0.049,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,233-Sp8-Cr23-0-20,Spooner,233,,5.66,5.98,1.044,1.211,0.404,2.107,1.063,0.122,0.333,0.38,-0.046,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,234-Sp8-Cr24-0-20,Spooner,234,,5.82,6.12,1.054,1.229,0.41,2.133,1.079,0.122,0.333,0.38,-0.046,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,235-Sp9-Cr25-0-15,Spooner,235,,6.81,7.08,1.059,1.258,0.419,2.154,1.095,0.13,0.333,0.383,-0.05,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,236-Sp9-Cr26-0-20,Spooner,236,,6.91,6.83,1.046,1.191,0.397,2.077,1.031,0.134,0.333,0.385,-0.052,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,237-Sp9-Cr27-0-15,Spooner,237,,7.57,6.89,1.041,1.226,0.409,2.108,1.067,0.13,0.333,0.383,-0.05,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,238-Sp10-Cr28-0-20,Spooner,238,,6.14,6.11,1.034,1.229,0.41,2.119,1.085,0.117,0.333,0.378,-0.044,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,239-Sp10-Cr29-0-15,Spooner,239,,6.11,6.01,1.035,1.199,0.4,2.078,1.043,0.13,0.333,0.383,-0.05,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,240-Sp10-Cr30-0-20,Spooner,240,,5.56,5.78,1.045,1.26,0.42,2.14,1.095,0.131,0.333,0.384,-0.05,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,241-Sp-A-Hor-Fridge,,241,,,,1.059,1.236,0.412,2.262,1.203,0.027,0.333,0.342,-0.009,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-3,242-Sp-B-Hor-Fridge,,242,,,,1.035,1.14,0.38,2.171,1.136,0.004,0.333,0.335,-0.001,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-4,1-K1-0-17,Wisconsin,1,,,,1.039,1.56,0.39,2.443,1.404,0.1,0.25,0.278,-0.028,64,25.2,10.8,Sandy Loam,2.5,4.6,4.9,6.3,0.13,1.64,99,44,1,237,12,40,3,,0,8.6,87,9,8/23/2018,Kemp,5.4,1,0,17
1-to-4,2-K1-17-45,Wisconsin,2,,5.22,5.36,1.042,1.615,0.404,2.513,1.471,0.089,0.25,0.274,-0.024,68,21.2,10.8,Sandy Loam,1.3,5.36,5.4,6.5,0.09,0.71,101,41,1,194,13,32,4,,0,6.1,85,6,8/23/2018,Kemp,5.4,1,17,45
1-to-4,3-K1-45-60,Wisconsin,3,,5.27,5.49,1.022,1.7,0.425,2.641,1.619,0.048,0.25,0.263,-0.013,72,19.2,8.8,Sandy Loam,0.4,6.28,5.6,7.1,0.08,0.11,37,26,4,327,96,58,28,,0,0,0,1,8/23/2018,Kemp,5.4,1,45,60
1-to-4,5-K3-0-15,Wisconsin,5,,,,1.058,1.552,0.388,2.411,1.353,0.128,0.25,0.287,-0.037,64,27.2,8.8,Sandy Loam,4,4.38,4.7,6.1,0.18,2.52,63,67,1,382,15,85,5,,0,10.9,84,13,8/23/2018,Kemp,5.4,3,0,15
1-to-4,6-K3-15-35,Wisconsin,6,,4.98,5.28,1.044,1.615,0.404,2.506,1.462,0.095,0.25,0.276,-0.026,60,31.2,8.8,Sandy Loam,1.5,5.05,5.1,6.4,0.12,0.77,40,57,2,170,11,39,4,,0,7,87,7,8/23/2018,Kemp,5.4,3,15,35
