,sensor [K-33 ICB],,
,CO2,,,
08/13/19 16:26:34.827,"22400",,
08/13/19 16:27:04.828,"22430",,
08/13/19 16:27:34.827,"22470",,
08/13/19 16:28:04.827,"22410",,
08/13/19 16:28:34.827,"22420",,
08/13/19 16:29:04.827,"22420",,
08/13/19 16:29:34.831,"22410",,
08/13/19 16:30:04.831,"22410",,
08/13/19 16:30:34.827,"22430",,
08/13/19 16:31:04.827,"22420",,
08/13/19 16:31:34.827,"22400",,
08/13/19 16:32:04.827,"22330",,
08/13/19 16:32:34.827,"22350",,
08/13/19 16:33:04.827,"22320",,
08/13/19 16:33:34.827,"22290",,
08/13/19 16:33:34.827,"22290",,
08/13/19 16:34:04.827,"22320",,
08/13/19 16:34:34.827,"22390",,
08/13/19 16:35:04.827,"22400",,
08/13/19 16:35:34.834,"22390",,
08/13/19 16:36:04.827,"22410",,
08/13/19 16:36:34.827,"22400",,
08/13/19 16:37:04.827,"22380",,
08/13/19 16:37:34.827,"22380",,
08/13/19 16:38:04.827,"22350",,
08/13/19 16:38:34.827,"22360",,
08/13/19 16:39:04.829,"22350",,
08/13/19 16:39:34.827,"22360",,
08/13/19 16:40:04.827,"22390",,
08/13/19 16:40:34.827,"22380",,
08/13/19 16:41:04.827,"22400",,
08/13/19 16:41:34.827,"22420",,
08/13/19 16:42:04.829,"22450",,
08/13/19 16:42:34.827,"22430",,
08/13/19 16:43:04.828,"22430",,
08/13/19 16:43:34.827,"22480",,
08/13/19 16:44:04.827,"22500",,
08/13/19 16:44:34.830,"22490",,
08/13/19 16:45:04.830,"22510",,
08/13/19 16:45:34.827,"22540",,
08/13/19 16:46:04.827,"22530",,
08/13/19 16:46:34.827,"22500",,
08/13/19 16:47:04.827,"22460",,
08/13/19 16:47:34.829,"22450",,
08/13/19 16:48:04.828,"22450",,
08/13/19 16:48:34.827,"22460",,
08/13/19 16:49:04.827,"22420",,
08/13/19 16:49:34.827,"22430",,
08/13/19 16:50:04.827,"22450",,
08/13/19 16:50:34.831,"22410",,
08/13/19 16:51:04.833,"22450",,
08/13/19 16:51:34.827,"22460",,
08/13/19 16:52:04.829,"22450",,
08/13/19 16:52:34.827,"22430",,
08/13/19 16:53:04.827,"22400",,
08/13/19 16:53:34.827,"22380",,
08/13/19 16:54:04.827,"22410",,
08/13/19 16:54:34.827,"22430",,
08/13/19 16:55:04.827,"22470",,
08/13/19 16:55:34.827,"22420",,
08/13/19 16:56:04.827,"22430",,
08/13/19 16:56:34.833,"22430",,
08/13/19 16:57:04.831,"22430",,
08/13/19 16:57:34.827,"22370",,
08/13/19 16:58:04.827,"22340",,
08/13/19 16:58:34.827,"22420",,
08/13/19 16:59:04.827,"22330",,
08/13/19 16:59:04.827,"22330",,
08/13/19 16:59:34.827,"22350",,
08/13/19 17:00:04.827,"22350",,
08/13/19 17:00:34.827,"22390",,
08/13/19 17:01:04.827,"22390",,
08/13/19 17:01:34.827,"22360",,
08/13/19 17:02:04.827,"22420",,
08/13/19 17:02:34.827,"22450",,
08/13/19 17:03:04.827,"22490",,
08/13/19 17:03:34.827,"22430",,
08/13/19 17:04:04.827,"22430",,
08/13/19 17:04:34.827,"22450",,
08/13/19 17:05:04.827,"22450",,
08/13/19 17:05:34.830,"22400",,
08/13/19 17:06:04.827,"22380",,
08/13/19 17:06:34.827,"22350",,
08/13/19 17:07:04.827,"22410",,
08/13/19 17:07:34.827,"22390",,
08/13/19 17:08:04.827,"22360",,
08/13/19 17:08:34.828,"22350",,
08/13/19 17:09:04.827,"22420",,
08/13/19 17:09:34.827,"22410",,
08/13/19 17:10:04.827,"22430",,
08/13/19 17:10:34.827,"22350",,
08/13/19 17:11:04.832,"22360",,
08/13/19 17:11:34.827,"22460",,
08/13/19 17:12:04.827,"22460",,
08/13/19 17:12:34.827,"22380",,
08/13/19 17:13:04.827,"22380",,
08/13/19 17:13:34.827,"22360",,
08/13/19 17:14:04.827,"22370",,
08/13/19 17:14:34.827,"22380",,
08/13/19 17:15:04.827,"22390",,
08/13/19 17:15:34.827,"22420",,
08/13/19 17:16:04.827,"22400",,
08/13/19 17:16:34.827,"22390",,
08/13/19 17:17:04.827,"22380",,
08/13/19 17:17:34.827,"22410",,
08/13/19 17:18:04.827,"22450",,
08/13/19 17:18:34.827,"22430",,
08/13/19 17:19:04.827,"22430",,
08/13/19 17:19:34.827,"22400",,
08/13/19 17:20:04.829,"22360",,
08/13/19 17:20:34.828,"22380",,
08/13/19 17:21:04.827,"22380",,
08/13/19 17:21:34.827,"22360",,
08/13/19 17:22:04.827,"22360",,
08/13/19 17:22:34.829,"22340",,
08/13/19 17:23:04.828,"22360",,
08/13/19 17:23:34.827,"22400",,
08/13/19 17:24:04.827,"22430",,
08/13/19 17:24:34.827,"22470",,
08/13/19 17:24:34.827,"22470",,
08/13/19 17:25:04.827,"22500",,
08/13/19 17:25:34.830,"22510",,
08/13/19 17:26:04.832,"22500",,
08/13/19 17:26:34.827,"22500",,
08/13/19 17:27:04.827,"22460",,
08/13/19 17:27:34.827,"22430",,
08/13/19 17:28:04.827,"22410",,
08/13/19 17:28:34.827,"22420",,
08/13/19 17:29:04.827,"22500",,
08/13/19 17:29:34.827,"22460",,
08/13/19 17:30:04.827,"22430",,
08/13/19 17:30:34.827,"22430",,
08/13/19 17:31:04.827,"22450",,
08/13/19 17:31:34.833,"22430",,
08/13/19 17:32:04.830,"22400",,
08/13/19 17:32:34.827,"22430",,
08/13/19 17:33:04.827,"22410",,
08/13/19 17:33:34.827,"22450",,
08/13/19 17:34:04.827,"22460",,
08/13/19 17:34:34.827,"22530",,
08/13/19 17:35:04.827,"22500",,
08/13/19 17:35:34.827,"22510",,
08/13/19 17:36:04.827,"22510",,
08/13/19 17:36:34.827,"22480",,
08/13/19 17:37:04.827,"22500",,
08/13/19 17:37:34.827,"22460",,
08/13/19 17:38:04.827,"22470",,
08/13/19 17:38:34.827,"22500",,
08/13/19 17:39:04.827,"22510",,
08/13/19 17:39:34.827,"22480",,
08/13/19 17:40:04.827,"22430",,
08/13/19 17:40:34.829,"22430",,
08/13/19 17:41:04.830,"22450",,
08/13/19 17:41:34.827,"22400",,
08/13/19 17:42:04.827,"22430",,
08/13/19 17:42:34.827,"22400",,
08/13/19 17:43:04.827,"22360",,
08/13/19 17:43:34.830,"22360",,
08/13/19 17:44:04.827,"22400",,
08/13/19 17:44:34.827,"22390",,
08/13/19 17:45:04.827,"22450",,
08/13/19 17:45:34.827,"22460",,
08/13/19 17:46:04.827,"22450",,
08/13/19 17:46:34.832,"22490",,
