Water.Soil.Ratio,Sample.ID,Sample.Num,Random.Num.1.to.65,Study,Sample.Number,DNA.Extr.pH.After.C1,DNA.Extr.pH.After.C2,Lab.CO2.pH.one2one,Lab.CO2.pH.one2two,Lab.CO2.pH.one2three,Lab.CO2.pH.one2four,High.CO2.pH.one2one,High.CO2.pH.one2two,High.CO2.pH.one2three,High.CO2.pH.one2four,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Ac.Hplus,Hplus.perc.CEC,CEC.sum,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-1,184-Sp12-Cr34-0-16,184,12.5770639657579,Spooner,184,9.181,7.966,6.72,7.09,6.56,7.53,6.53,7.1,6.87,7.65,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,185-Sp12-Cr35-0-18,185,18.4420676699506,Spooner,185,9.11,7.937,6.26,6.63,6.37,6.46,6.16,6.8,6.54,6.78,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,186-Sp12-Cr36-0-20,186,56.3492261813039,Spooner,186,9.178,7.969,6.81,6.36,6.48,6.57,6.3,6.65,6.93,6.68,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,187-Sp13-Cr37-0-20,187,41.5130831510714,Spooner,187,9.139,7.978,6.22,6.56,6.59,6.5,6.08,6.58,6.89,6.64,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,188-Sp13-Cr38-0-20,188,61.0882225856304,Spooner,188,9.142,7.902,6.45,6.54,5.58,5.68,5.78,5.98,6.12,6.02,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,189-Sp13-Cr39-0-19,189,15.4833764406894,Spooner,189,9.156,7.889,6.09,6.93,6.63,6.35,5.92,6.9,7.02,6.85,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,190-Sp14-Cr40-0-17,190,41.5412715246532,Spooner,190,9.036,7.859,5.75,5.92,5.39,7.22,5.64,5.83,5.83,7.25,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,191-Sp14-Cr41-0-18,191,7.91733460499859,Spooner,191,9.057,7.877,5.63,5.54,5.45,5.44,5.5,5.59,5.79,5.92,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,192-Sp14-Cr42-0-20,192,39.8086920591934,Spooner,192,9.068,7.862,5.82,5.65,5.48,5.62,5.61,5.82,5.86,5.81,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,193-Sp15-Cr43-0-18,193,31.7075140316689,Spooner,193,9,7.848,5.77,5.72,5.04,5.16,6.22,5.75,5.53,5.45,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,194-Sp15-Cr44-0-17,194,40.341459990328,Spooner,194,8.929,7.836,5.19,5.14,4.85,4.93,5.03,5.32,5.26,5.17,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,195-Sp15-Cr45-0-20,195,44.5654115518971,Spooner,195,9.053,7.898,5.6,5.73,5.36,5.56,5.52,5.81,5.7,5.67,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,196-Sp16-Cr46-0-20,196,40.7481741023265,Spooner,196,9.21,7.919,6.44,6.54,6.6,6.54,6.42,6.51,6.69,6.64,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,197-Sp16-Cr47-0-17,197,23.5004252725191,Spooner,197,9.199,7.983,6.6,6.48,6.15,6.31,6.43,6.78,6.45,6.45,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,198-Sp16-Cr48-0-20,198,13.9060901568409,Spooner,198,9.124,8.001,7.03,6.49,6.04,6.56,6.71,6.36,6.38,6.78,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,199-Sp17-Cr49-0-20,199,28.6973291835916,Spooner,199,8.956,7.88,5.12,5.12,4.94,4.99,5.1,5.19,5.28,5.25,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,200-Sp17-Cr50-0-18,200,44.1820759738028,Spooner,200,9.062,7.877,5.9,5.6,5.21,5.65,6.03,5.7,5.64,5.8,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,201-Sp17-Cr51-0-18,201,9.9876301338621,Spooner,201,9.139,7.88,5.59,5.93,5.36,5.7,5.74,5.85,5.78,5.95,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,202-Sp18-Cr52-0-18,202,29.819794427691,Spooner,202,9.174,7.894,6.15,6.68,7.06,6.61,6.31,6.79,6.86,6.66,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,203-Sp18-Cr53-0-19,203,3.49461380892345,Spooner,203,9.196,7.894,6.37,7.23,6.94,6.93,6.31,7.14,6.89,6.9,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,204-Sp18-Cr54-0-20,204,27.2164489350779,Spooner,204,9.235,7.907,6.27,6.85,6.68,6.73,6.28,6.89,6.9,6.71,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,205-Sp19-Cr55-0-20,205,41.7106852448164,Spooner,205,9.053,7.88,6.91,5.69,5.38,5.62,7.04,5.66,5.76,6.12,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,206-Sp19-Cr56-0-18,206,8.37279822541514,Spooner,206,9.004,7.871,5.52,5.28,4.95,5.1,5.65,5.4,5.35,5.36,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,207-Sp19-Cr57-0-18,207,9.76226624859114,Spooner,207,9.121,7.884,6.22,6.2,6.2,6.57,6.06,6.58,6.37,6.56,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,208-Sp20-Cr58-0-20,208,33.985479735439,Spooner,208,9.164,7.912,6.27,6.8,6.29,6.23,6.05,7.08,6.22,6.3,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,209-Sp20-Cr59-0-19,209,2.68581290498146,Spooner,209,9.16,7.907,5.71,5.82,5.61,5.58,5.7,5.89,5.74,5.88,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,210-Sp20-Cr60-0-20,210,43.7011726247973,Spooner,210,9.092,7.934,6.06,5.83,5.75,5.84,5.94,6.05,6.11,6.1,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,211-Sp1-Cr1-0-20,211,42.6727513681534,Spooner,211,9,8.001,5.47,5.4,4.71,5.09,5.29,5.74,5.06,5.24,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,212-Sp1-Cr2-0-20,212,14.0512767582429,Spooner,212,9.181,8.056,5.05,5.17,4.95,4.94,5.01,5.27,5.34,5.05,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,213-Sp1-Cr3-0-20,213,29.0652744258359,Spooner,213,9.174,8.09,5.39,5.45,7.08,5.24,5.44,5.57,6.93,5.44,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,214-Sp2-Cr4-0-20,214,7.95532477116578,Spooner,214,9.27,8.072,5.69,7.66,6.02,5.75,5.8,7.38,6.19,5.93,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,215-Sp2-Cr5-0-20,215,25.2463277244635,Spooner,215,9.24,8.085,5.81,6.03,5.91,5.94,5.93,6.36,6.28,6.16,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,216-Sp2-Cr6-0-20,216,12.0010191038326,Spooner,216,9.21,8.076,5.45,5.49,5.42,5.36,5.49,5.66,5.58,5.54,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,217-Sp3-Cr7-0-20,217,19.4808839153994,Spooner,217,9.364,8.133,6.11,7.05,6.53,6.78,6.39,7.12,6.72,6.74,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,218-Sp3-Cr8-0-20,218,17.4160180635696,Spooner,218,9.352,8.156,6.54,6.86,6.57,7.06,6.9,6.98,6.85,6.43,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,219-Sp3-Cr9-0-20,219,29.8977884158947,Spooner,219,9.231,8.126,6.37,7.16,6.47,6.9,6.58,7.01,6.98,6.57,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,220-Sp4-Cr10-0-20,220,61.9130224949172,Spooner,220,9.306,8.097,6.66,6.03,6.15,6.91,6.94,6.28,6.47,6.37,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,221-Sp4-Cr11-0-20,221,45.2007929597865,Spooner,221,9.373,8.161,6.14,6.33,6.44,7.17,6.27,6.67,6.51,6.93,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,222-Sp4-Cr12-0-20,222,1.52399236629293,Spooner,222,9.364,8.168,6.1,6.73,6.38,7.2,6.5,6.47,6.54,6.51,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,223-Sp5-Cr13-0-20,223,20.8301125531283,Spooner,223,9.347,8.156,6.57,6.9,6.93,6.82,6.62,7.23,7.13,6.89,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,224-Sp5-Cr14-0-20,224,45.8178511692416,Spooner,224,9.306,8.143,6.16,6.45,6.37,6.56,6.33,6.57,6.56,6.25,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,225-Sp5-Cr15-0-20,225,38.5569629045585,Spooner,225,9.391,8.161,6.51,7.29,7.02,6.97,6.87,7.15,7.14,6.76,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,226-Sp6-Cr16-0-15,226,30.6500796439444,Spooner,226,9.324,8.076,6.59,6.94,6.78,7.41,6.81,7.24,6.98,7.14,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,227-Sp6-Cr17-0-20,227,7.42579158924062,Spooner,227,9.352,8.111,6.56,6.78,6.57,6.64,6.7,6.9,6.77,6.7,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,228-Sp6-Cr18-0-20,228,4.817751723894,Spooner,228,9.388,8.108,6.38,6.7,6.7,6.74,6.58,6.64,6.63,6.39,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,229-Sp7-Cr19-0-20,229,52.4416263377429,Spooner,229,9.133,8.067,5.09,4.95,4.84,4.8,5.04,5.11,5.09,4.95,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,230-Sp7-Cr20-0-20,230,62.2952503715427,Spooner,230,9.068,8.037,4.8,4.79,4.61,4.58,4.79,4.95,4.8,4.81,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,231-Sp7-Cr21-0-13,231,15.4548632035143,Spooner,231,9.178,8.076,6.28,7.38,5.42,5.8,6.36,7.58,5.72,5.89,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,232-Sp8-Cr22-0-20,232,24.012427701608,Spooner,232,9.281,8.126,6.24,6.74,5.81,5.91,6.18,6.56,6.12,6.1,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,233-Sp8-Cr23-0-20,233,32.4947450752927,Spooner,233,9.245,8.102,5.95,6.45,5.66,6.9,6.09,6.43,5.98,6.34,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,234-Sp8-Cr24-0-20,234,59.5934561118814,Spooner,234,9.299,8.138,5.99,6.04,5.82,6.45,6,6.18,6.12,6.16,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,235-Sp9-Cr25-0-15,235,44.2193408253994,Spooner,235,9.324,8.165,6.56,7.45,6.81,6.88,6.79,7.09,7.08,6.69,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,236-Sp9-Cr26-0-20,236,11.9915330195645,Spooner,236,9.235,7.925,6.34,6.8,6.91,7.2,6.55,6.9,6.83,6.55,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,237-Sp9-Cr27-0-15,237,11.69517136686,Spooner,237,9.169,7.93,6.93,6.89,7.57,7.2,6.73,7.21,6.89,7.13,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,238-Sp10-Cr28-0-20,238,24.1774678458919,Spooner,238,9.235,7.898,5.71,5.69,6.14,5.48,5.68,5.73,6.11,5.77,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,239-Sp10-Cr29-0-15,239,6.09473055393751,Spooner,239,9.053,7.925,5.86,5.96,6.11,6.64,5.97,6.01,6.01,6.23,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
1-to-1,240-Sp10-Cr30-0-20,240,38.3064056248738,Spooner,240,9.036,7.912,5.63,5.69,5.56,5.74,5.6,5.86,5.78,5.93,,,,,,,,,,,,,,,,,,,,,,,,Spooner,,,,
