Water.Soil.Ratio,Sample.ID,Sample.Num,Random.Num.1.to.65,Study,Sample.Number,DNA.Extr.pH.After.C1,DNA.Extr.pH.After.C2,Lab.CO2.pH.one2one,Lab.CO2.pH.one2two,Lab.CO2.pH.one2three,Lab.CO2.pH.one2four,High.CO2.pH.one2one,High.CO2.pH.one2two,High.CO2.pH.one2three,High.CO2.pH.one2four,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Ac.Hplus,Hplus.perc.CEC,CEC.sum,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-1,039-A341-55-75,39,64.1031302993267,Wisconsin,39,8.885,7.717,6.81,7.05,6.67,6.99,6.71,7.21,7.04,7.15,5.2,65.6,29.2,Silty Clay Loam,3.3,3.9,7.2,7.1,0.21,2.02,28,37,1,1652,99,514,50,,0,0,0,9,8/31/2018,Arlington,6.5,341,55,75
1-to-1,040-A341-75-85,40,18.8150852253523,Wisconsin,40,9.009,7.77,6.8,7.01,6.79,7.33,6.63,7.19,7.14,7.03,5.2,71.6,23.2,Silt Loam,1.7,4.3,7.2,7.1,0.1,0.83,9,39,2,980,98,574,94,,0,0,0,5,8/31/2018,Arlington,6.5,341,75,85
1-to-1,041-L2-0-23,41,9.64589377006121,Wisconsin,41,9.018,7.859,6.5,6.64,6.46,6.75,6.34,7.01,6.84,6.73,9.2,73.6,17.2,Silt Loam,2.6,4.17,7,7.3,0.22,1.71,14,72,3,1288,97,347,43,,0,0,0,7,8/30/2018,Lancaster,6.6,2,0,23
1-to-1,042-L2-23-45,42,32.6732055939013,Wisconsin,42,9.062,7.894,6.56,7.02,6.56,7.06,6.42,7.31,7.05,7.03,3.2,71.6,25.2,Silt Loam,1.3,4.53,7.3,7.3,0.13,0.55,9,62,2,1330,98,444,53,,0,0,0,6,8/30/2018,Lancaster,6.6,2,23,45
1-to-1,043-L3-0-12,43,26.7559458406294,Wisconsin,43,8.925,7.8,6.13,6.4,5.92,6.28,6.05,6.56,6.35,6.36,7.2,67.6,25.2,Silt,2.8,4.28,6.5,7.1,0.15,1.58,17,116,4,1502,96,470,49,,0,0,0,8,8/30/2018,Lancaster,6.6,3,0,12
1-to-1,044-L3-12-20,44,11.8239140573196,Wisconsin,44,8.849,7.747,6.22,6.37,6.1,6.18,5.94,6.72,6.45,6.39,5.2,65.6,29.2,Silty Clay Loam,2,4.42,6.7,7.1,0.14,0.82,10,78,2,1617,98,545,54,,0,0,0,8,8/30/2018,Lancaster,6.6,3,12,20
1-to-1,045-L3-20-40,45,57.8488063661338,Wisconsin,45,8.861,7.747,6.02,6.33,6.08,6.28,5.85,6.61,6.46,6.58,3.2,61.6,35.2,Silty Clay Loam,1.5,4.42,6.8,7,0.13,0.48,22,100,3,1984,97,723,58,,0,0,0,10,8/30/2018,Lancaster,6.6,3,20,40
1-to-1,046-L4-0-10,46,20.6198970289154,Wisconsin,46,8.915,7.795,5.88,6.35,5.87,5.98,5.73,6.22,6.14,6.23,9.2,71.6,19.2,Silt Loam,3.1,4.01,6.2,6.9,0.2,1.94,10,58,2,1193,87,264,32,,0,0.7,11,7,8/30/2018,Lancaster,6.6,4,0,10
1-to-1,047-L4-10-20,47,56.851455891563,Wisconsin,47,8.947,7.83,5.87,6.2,5.8,5.84,5.71,6.32,6.07,6.19,7.2,73.6,19.2,Silt,2.8,4.11,5.9,6.9,0.23,1.7,18,47,2,1074,74,209,24,,0,1.8,25,8,8/30/2018,Lancaster,6.6,4,10,20
1-to-1,048-L4-20-40,48,29.4476797589501,Wisconsin,48,9.036,7.859,5.75,6.02,5.65,5.82,5.61,6.21,6.03,6.13,8,71.6,20.4,Silt Loam,1.3,4.39,6.1,7,0.14,0.63,10,42,2,1053,98,184,28,,0,0,0,5,8/30/2018,Lancaster,6.6,4,20,40
