location,date,time.real,time.second,time.minute,CO2.ppm
laboratory,2019-08-20,9:10:05.557,720,,420
laboratory,2019-08-20,9:10:35.559,750,,420
laboratory,2019-08-20,9:11:05.557,780,,420
laboratory,2019-08-20,9:11:35.557,810,,420
laboratory,2019-08-20,9:12:05.557,840,,420
laboratory,2019-08-20,9:12:35.557,870,,420
laboratory,2019-08-20,9:13:05.557,900,,410
laboratory,2019-08-20,9:13:35.558,930,,410
laboratory,2019-08-20,9:14:05.557,960,,420
laboratory,2019-08-20,9:14:35.557,990,,420
laboratory,2019-08-20,9:15:05.557,1020,,420
laboratory,2019-08-20,9:15:35.557,1050,,400
laboratory,2019-08-20,9:16:05.557,1080,,410
laboratory,2019-08-20,9:16:35.559,1110,,420
laboratory,2019-08-20,9:17:05.557,1140,,430
laboratory,2019-08-20,9:17:35.557,1170,,450
laboratory,2019-08-20,9:18:05.557,1200,,460
laboratory,2019-08-20,9:18:35.557,1230,,470
laboratory,2019-08-20,9:19:05.557,1260,,460
laboratory,2019-08-20,9:19:35.557,1290,,470
laboratory,2019-08-20,9:20:05.557,1320,,470
laboratory,2019-08-20,9:20:35.558,1350,,460
laboratory,2019-08-20,9:21:05.557,1380,,440
laboratory,2019-08-20,9:21:35.557,1410,,430
laboratory,2019-08-20,9:22:05.557,1440,,420
laboratory,2019-08-20,9:22:35.557,1470,,410
laboratory,2019-08-20,9:22:35.557,1500,,410
laboratory,2019-08-20,9:23:05.557,1530,,400
laboratory,2019-08-20,9:23:35.558,1560,,380
laboratory,2019-08-20,9:24:05.557,1590,,420
laboratory,2019-08-20,9:24:35.557,1620,,400
laboratory,2019-08-20,9:25:05.557,1650,,400
laboratory,2019-08-20,9:25:35.557,1680,,420
laboratory,2019-08-20,9:26:05.557,1710,,400
laboratory,2019-08-20,9:26:35.557,1740,,400
laboratory,2019-08-20,9:27:05.557,1770,,400
laboratory,2019-08-20,9:27:35.557,1800,,370
laboratory,2019-08-20,9:28:05.557,1830,,400
laboratory,2019-08-20,9:28:35.564,1860,,400
laboratory,2019-08-20,9:29:05.557,1890,,400
laboratory,2019-08-20,9:29:35.557,1920,,400
laboratory,2019-08-20,9:30:05.557,1950,,400
laboratory,2019-08-20,9:30:35.557,1980,,400
laboratory,2019-08-20,9:31:05.557,2010,,400
laboratory,2019-08-20,9:31:35.557,2040,,390
laboratory,2019-08-20,9:32:05.557,2070,,370
laboratory,2019-08-20,9:32:35.557,2100,,360
laboratory,2019-08-20,9:33:05.557,2130,,360
laboratory,2019-08-20,9:33:35.557,2160,,350
laboratory,2019-08-20,9:34:05.557,2190,,370
laboratory,2019-08-20,9:34:35.557,2220,,380
laboratory,2019-08-20,9:35:05.557,2250,,380
laboratory,2019-08-20,9:35:35.557,2280,,350
laboratory,2019-08-20,9:36:05.557,2310,,350
laboratory,2019-08-20,9:36:35.557,2340,,350
laboratory,2019-08-20,9:37:05.557,2370,,400
laboratory,2019-08-20,9:37:35.557,2400,,380
laboratory,2019-08-20,9:38:05.557,2430,,400
laboratory,2019-08-20,9:38:35.557,2460,,400
laboratory,2019-08-20,9:39:05.557,2490,,400
laboratory,2019-08-20,9:39:35.557,2520,,400
laboratory,2019-08-20,9:40:05.557,2550,,390
laboratory,2019-08-20,9:40:35.557,2580,,390
laboratory,2019-08-20,9:41:05.557,2610,,390
laboratory,2019-08-20,9:41:35.557,2640,,380
laboratory,2019-08-20,9:42:05.557,2670,,380
laboratory,2019-08-20,9:42:35.557,2700,,370
laboratory,2019-08-20,9:43:05.557,2730,,380
laboratory,2019-08-20,9:43:35.557,2760,,390
laboratory,2019-08-20,9:44:05.557,2790,,410
laboratory,2019-08-20,9:44:35.558,2820,,400
laboratory,2019-08-20,9:45:05.557,2850,,410
laboratory,2019-08-20,9:45:35.557,2880,,420
laboratory,2019-08-20,9:46:05.557,2910,,420
laboratory,2019-08-20,9:46:35.557,2940,,400
laboratory,2019-08-20,9:47:05.557,2970,,410
laboratory,2019-08-20,9:47:35.557,3000,,370
laboratory,2019-08-20,9:48:05.557,3030,,400
laboratory,2019-08-20,9:48:05.557,3060,,400
laboratory,2019-08-20,9:48:35.557,3090,,390
laboratory,2019-08-20,9:49:05.557,3120,,400
laboratory,2019-08-20,9:49:35.561,3150,,410
laboratory,2019-08-20,9:50:05.557,3180,,380
laboratory,2019-08-20,9:50:35.557,3210,,370
laboratory,2019-08-20,9:51:05.557,3240,,380
laboratory,2019-08-20,9:51:35.557,3270,,380
laboratory,2019-08-20,9:52:05.566,3300,,390
laboratory,2019-08-20,9:52:35.557,3330,,360
