,sensor [K-33 ICB],,
,CO2,,,
08/14/19 15:18:05.064,"280",,
08/14/19 15:18:35.064,"290",,
08/14/19 15:19:05.064,"280",,
08/14/19 15:19:35.064,"290",,
08/14/19 15:20:05.064,"290",,
08/14/19 15:20:35.064,"260",,
08/14/19 15:21:05.064,"260",,
08/14/19 15:21:35.064,"260",,
08/14/19 15:22:05.064,"230",,
08/14/19 15:22:35.064,"250",,
08/14/19 15:23:05.064,"230",,
08/14/19 15:23:35.064,"230",,
08/14/19 15:24:05.064,"230",,
08/14/19 15:24:35.064,"240",,
08/14/19 15:25:05.064,"280",,
08/14/19 15:25:35.064,"310",,
08/14/19 15:26:05.064,"310",,
08/14/19 15:26:35.064,"290",,
08/14/19 15:27:05.064,"310",,
08/14/19 15:27:35.064,"260",,
08/14/19 15:28:05.064,"280",,
08/14/19 15:28:35.064,"240",,
08/14/19 15:29:05.064,"260",,
08/14/19 15:29:35.064,"240",,
08/14/19 15:30:05.064,"280",,
08/14/19 15:30:35.064,"260",,
08/14/19 15:31:05.064,"270",,
08/14/19 15:31:35.064,"260",,
08/14/19 15:31:35.064,"260",,
08/14/19 15:32:05.064,"260",,
08/14/19 15:32:35.064,"230",,
08/14/19 15:33:05.064,"250",,
08/14/19 15:33:35.064,"230",,
08/14/19 15:34:05.064,"230",,
08/14/19 15:34:35.064,"230",,
08/14/19 15:35:05.064,"230",,
08/14/19 15:35:35.064,"230",,
08/14/19 15:36:05.064,"260",,
08/14/19 15:36:35.064,"250",,
08/14/19 15:37:05.064,"240",,
08/14/19 15:37:35.064,"250",,
08/14/19 15:38:05.064,"260",,
08/14/19 15:38:35.064,"270",,
08/14/19 15:39:05.064,"280",,
08/14/19 15:39:35.064,"300",,
08/14/19 15:40:05.064,"290",,
08/14/19 15:40:35.064,"310",,
08/14/19 15:41:05.064,"290",,
08/14/19 15:41:35.064,"260",,
08/14/19 15:42:05.064,"260",,
08/14/19 15:42:35.064,"270",,
08/14/19 15:43:05.064,"280",,
08/14/19 15:43:35.064,"300",,
08/14/19 15:44:05.064,"290",,
08/14/19 15:44:35.064,"280",,
08/14/19 15:45:05.064,"250",,
08/14/19 15:45:35.064,"240",,
08/14/19 15:46:05.064,"270",,
08/14/19 15:46:35.064,"260",,
08/14/19 15:47:05.064,"260",,
08/14/19 15:47:35.064,"290",,
08/14/19 15:48:05.064,"300",,
08/14/19 15:48:35.064,"280",,
08/14/19 15:49:05.064,"280",,
08/14/19 15:49:35.064,"270",,
08/14/19 15:49:48.652,"270",,
