step.num,Step,date,solution,mV,pH,Sample.Index
0, standard soil pH,way back,15,,6.01,015-R2-30-45
0, standard soil pH,way back,16,,5.92,016-R2-45-60
0, standard soil pH,way back,17,,5.95,017-R2-60-10
0, standard soil pH,way back,18,,5.8,018-R3-0-20
0, standard soil pH,way back,19,,5.59,019-R3-20-30
0, standard soil pH,way back,20,,6.69,020-M1-0-31
0, standard soil pH,way back,21,,6.1,021-M1-31-50
0, standard soil pH,way back,22,,5.36,022-M1-50-70
0, standard soil pH,way back,23,,6.61,023-M2-0-24
0, standard soil pH,way back,24,,6.66,024-M2-24-38
0, standard soil pH,way back,25,,5.68,025-M2-38-55
0, standard soil pH,way back,26,,5.88,026-M3-0-15
0, standard soil pH,way back,27,,5.85,027-M3-15-30
0, standard soil pH,way back,30,,6.4,030-H1-0-30
0, standard soil pH,way back,31,,6.59,031-H1-30-40
0, standard soil pH,way back,32,,6.39,032-H1-40-60
0, standard soil pH,way back,33,,6.27,033-H2-0-30
0, standard soil pH,way back,34,,6.2,034-H2-30-60
0, standard soil pH,way back,35,,6.75,035-A249-0-35
0, standard soil pH,way back,36,,6.55,036-A249-35-60
0, standard soil pH,way back,37,,6.76,037-A341-0-33
0, standard soil pH,way back,38,,6.77,038-A341-33-55
0, standard soil pH,way back,39,,6.81,039-A341-55-75
0, standard soil pH,way back,40,,6.8,040-A341-75-85
0, standard soil pH,way back,41,,6.5,041-L2-0-23
0, standard soil pH,way back,42,,6.56,042-L2-23-45
0, standard soil pH,way back,43,,6.13,043-L3-0-12
0, standard soil pH,way back,44,,6.22,044-L3-12-20
0, standard soil pH,way back,45,,6.02,045-L3-20-40
0, standard soil pH,way back,46,,5.88,046-L4-0-10
0, standard soil pH,way back,47,,5.87,047-L4-10-20
0, standard soil pH,way back,48,,5.75,048-L4-20-40
0, standard soil pH,way back,50,,6.63,050-W4-0-28
0, standard soil pH,way back,51,,6.44,051-W4-28-45
0, standard soil pH,way back,52,,6.48,052-W4-45-55
0, standard soil pH,way back,53,,6.06,053-W5-0-35
